code|description_serbian|description_latin
D58.8|Druge označene nasledne slabokrvnosti uzrokovane hemolizom|Anaemiae haemolyticae hereditariae specificatae aliae
D58.9|Nasledna slabokrvnost uzrokovana hemolizom,neoznačena|Anaemia haemolytica hereditaria, non specificata
D59|Stečena slabokrvnost uzrokovana hemolizom|Anaemia haemolytica acquisita
D60|Stečena aplazijska slabokrvnost|Anaemia aplastica acquisita
D60.0|Stečena hronična čista aplazijska slabokrvnost|Aplasia erythrocytorum pura acquisita chronica
D60.1|Stečena prolazna čista aplazijska slabokrvnost|Aplasia erythrocytorum pura acquisita transitiva
D60.8|Druga stečena čista aplazijska slabokrvnost|Aplasia erythrocitorum pura acquisita alia
D60.9|čista stečena aplazijska slabokrvnost, neoznačena|Aplasia erythrocitorum pura acquistia, non specificata
D61|Druga aplazijska slabokrvnost|Anaemia aplastica alia
D61.0|Konstituciona aplazijska slabokrvnost|Anaemia aplastica constitutionalis
D61.1|Aplazijska slabokrvnost uzrokovana lekovima|Anaemia aplastica medicamentosa
D61.2|Aplazijska slabokrvnost uzrokovana drugim spoljnim čoniocima|Anaemia aplastica propter factores externos alios
D61.3|Samopojavna aplazijska slabokrvnost|Anaemia idiopathica aplastica
D61.8|Druge označene aplazijske slabokrvnosti|Anaemiae aplasticae aliae, specificatae
D61.9|Aplazijska slabokrvnost,neoznačena|Anaemia aplastica, non specificata
D62|Akutna slabokrvnost posle krvarenja|Anaemia posthaemorrhagica acuta
D63|Slabokrvnost kod hroničnih oboljenja|Anaemia in morbis chronicis aliis
D63.0|Slabokrvnost kod zloćudnih tumora (COO-D48+)|Anaemia in morbis neoplasticis (malignis)
D63.8|Slabokrvnost kod drugih hroničnih oboljenja|Anaemia in morbis chronicis aliia
D64|Druge slabokrvnosti|Anaemiae aliae
D65|Rasejano zgrušavanje u krvnim sudovima|Coagulatio intravascularis disseminata
D66|Hemofilija A - poremećaj zgrušavanja krvi uzrokovana nedostatkom činioca VIII|Haemophilia A propter deficientiam factoris VIII
D67|Hemofilija B - poremećaj zgrušavanja krvi uzrokovan nedostatkom činioca IX|Haemophilia B propter deficientiam factoris IX
D68|Drugi poremećaji zgrušavanja krvi|Defectus coagulationis alii
D68.0|Von Wilebrandova bolest|Morbus von Willebrand
D68.1|Nasledni nedostatak IX činioca|Deficientia factoris IX hereditaria
D68.2|Nasledni nedostatak drugih činilaca zgrušavanja krvi|Deficientia factorum coagulationis aliorum hereditaria
D68.3|Krvarenje usled postojanja antikoagulanata u krvotoku|Disordo haemorrhagicus propter anticoagulantes circulatorios
D68.4|Stečeni nedostatak zgrušavanja krvi|Deficientia factoris coagulationis acquisita
D68.8|Drugi označeni poremećaji zgrušavanja krvi|Defectus coagulationis specificati alii
D68.9|Poremećaj zgrušavanja krvi,neoznačen|Defectus coagulationis,non specificatus
D69|Krvarenja kože i druga krvarenja|Purpura et status haemorrhagici alii
D70|Agranulocitoza - smanjenje broja granulocita|Agranulocytosis
D71|Funkcioni poremećaji neutrofila polimorfonuklearnih ćelija|Dysfunctiones cellularum neutrophilorum polymorphonucleorum
D72|Druge bolesti belih krvnih zrnaca|Morbi leucocytorum alii
D72.0|Urođena anomalija belih krvnih zrnaca|Anomalia leucocytorum congenita
D72.1|Povećan broj eozinofilnih belih krvnih zrnaca|Eosinophilia
D72.8|Druge označene bolesti belih krvnih zrnaca|Morbi leucocytorum specificati,alii
D72.9|Bolesti belih krvnih zrnaca,neoznačena|Morbus leucocytorum,non specificatus
D73|Bolest slezine|Morbus splenis
D73.0|Nerazvijena slezina|Hyposplenismus
D73.1|Uvećana slezina|Hypersplenismus
D73.2|Hronična kongestivna povećana slezina|Splenomegalia congestiva chronica
D73.3|Zagnoj slezine|Abscessus splenis
D73.4|Cista slezine|Cystis splenis
D73.5|Izumiranje tkiva slezine|Infarctus splenis
D73.8|Druge bolesti slezine|Morbi splenis alii
D73.9|Bolest slezine,neoznačena|Morbus splenis,non specificatus
D74|Methemoglobinemija - Plava bolest|Methaemoglobinaemia
D74.0|Urođena methemoglobinemija|Methaemoglobinaemia congenita
D74.8|Druge methemoglobinemije|Methaemoglobinaemiae aliae
D74.9|Methemoglobinemija,neoznačena|Methaemoglobinaemia,non specificata
D75|Druge bolesti krvi i bolesti krvotvornih organa|Morbi sanguinis et morbi systematis haematopoietici alii
D75.0|Porodično povećanje broja crvenih krvnih zrnaca|Erythrocytosis familiaris
D75.1|Sekundarno povećanje broja krvnih zrnaca|Polycythaemia secundaria
D75.2|Samobitno povećanje broja krvnih pločica|Thrombocytosis essentialis
D75.8|Druge označene bolesti krvi i bolesti krvotvornih organa|Morbi sanguinis et morbi systematis haematopoietici specificati, alii
D75.9|Bolest krvi i bolest krvotvornih organa, neoznačena|Morbus sanguinis et morbus systematis haematopoietici, non specificatus
D76|Bolesti limforetikularnog tkiva i bolesti retikulohistiocitnog sistema|Morbi telae lymphoreticularis et morbi systematis reticulohistiocytici
D76.0|Histiocitoza Langerhansovih ćelija|Histiocytosis cellularum Langerhans
D76.1|Hemofagocitna limfohistiocitoza|Lymphohistiocytosis haemophagocytica
D76.2|Hemofagocitni sindrom udružen sa infekcijom|Syndroma haemophagocitica infectiva
D76.3|Drugi sindromi histiocitoze|Syndromae histiocytosis aliae
D77|Drugi poremećaji krvi i poremećaji krvotvornih organa u drugim bolestima|Disordines sanguinis et disordines systematis haematipoietici alii in morbis aliis
D80|Smanjenje imuniteta - sa predominantnim poremećajima antitela|Immunodeficientia cum defectibus anricorporum praedominantibus
D80.0|Nasledno smanjenje gamaglobulina|Hypogammaglobulinaemia hereditaria
D80.1|Neporodično smanjenje gamaglobulina|Hypogammaglobulinaemia non familiaris
D80.2|Selektivno smanjenje imunoglobulina A|Deficientia immunoglobulini A selectiva
D80.3|Selektivno smanjenje imunoglobulina G (podgrupe)|Deficientia immunoglobulini G (subclassis) selectiva
D80.4|Selektivno smanjenje imunoglobulina M|Deficientia immunoglobulini M selectiva
D80.5|Smanjenje imuniteta sa povećanjem količine imunoglobulina M|Immunodeficientia cum immunoglobulino M aucto
D80.6|Smanjenje antitela sa skoro normalnim imunoglobulinima ili sa hiperimunoglobulinemijom|Deficientia anticorporum cum immunoglobulinis fere normalibus sive cum hyperimmunoglobulinaemia
D80.7|Prolazno smanjenje gamaglobulina u deteta|Hypogammaglobulanaemia pueri transitiva
D80.8|Druga smanjenja imuniteta sa predominantnim defektima antitela|Immunodeficientiae cum defectibus anticorporum praedominantibus, aliae
D80.9|Smanjenje imuniteta sa predominantnim defektom antitela, neoznačeno|Immunodeficientia non specificata cum defectibus anticorporum praedominantibus
D81|Kombinovana smanjenja imuniteta|Immunodeficientiae combinatae
D81.0|Teško kombinovano smanjenje imuniteta, sa retikularnom disgenezom|Immunodeficientia gravis combinata, cum dysgenesi reticulari
D81.1|Teško kombinovano smanjenje imuniteta, sa malim brojem T- i B-ćelija|Immunodeficientia gravis combinata, cum numero T - et B - cellularum parvo
D81.2|Teško kombinovano smanjenje imuniteta, sa malim ili normalnim brojem B-ćelija|Immunodeficientia gravis combinata,cum numero B-cellularum parvo sive normali
D81.3|Smanjenje adenozin-deaminaze|Deficientia adenosinum-deaminasis
D81.4|Nezelofijev sindrom|Syndroma Nezelof
D81.5|Smanjenje purin-nukleozid-fosforilaze|Deficientia purinum-nucleosidum-phosphorilasis
D81.6|Nedostatak većeg kompleksa histokompatibilnosti klase I|Deficientia complicis histocompatibilitatis majoris classis I
D81.7|Smanjenje većeg kompleksa histokompatibilnosti klase II|Deficientia complicis histocompatibilatiatis majoris classis II
D81.8|Ostala kombinovana smanjenja imuniteta|Immunodeficientiae combinatae aliae
D81.9|Kombinovano smsnjenje imuniteta, neoznačeno|Immunodeficientia combinata,non specificata
D82|Smanjenje imuniteta - udruženo sa drugim većim defektima|Immunodeficientia cum defectibus majoribus aliis associata
D82.0|Wiskott-Aldrichov sindrom|Syndroma Wiskott-Aldrich
D82.1|Di Georgeov sindrom|Syndroma Di George
D82.2|Smanjenje imuniteta sa kratkim udovima|Immunodeficientia cum extremitatibus brevibus
D82.3|Smanjenje imuniteta kao defektna hereditena reakcija na Epstein-Barrov virus|Immunodeficientia ut reactio in virus Epstein-Barr defectiva hereditaria
D82.4|Sindrom hiperimunoglobulinemije E|Syndroma hyperimmunoglobulinaemia E
D82.8|Smanjenje imuniteta udruženo sa ostalim većim označenim defektima|Immunodeficientia cum defectibus majoribus aliis specificatis associata
D82.9|Smanjenje imuniteta udruženo sa većim defektima, neoznačeno|Immunodeficientia cum defectibus majoribus associata, non specificata
D83|Opšte smanjenje imuniteta|Immunodeficientia variabilis communis
D83.0|Opšte promenljivo smanjenje imuniteta sa predominantnim nenormalnostima broja i funkcije B-ćelija|Immunodeficientia variabilis communis cum abnormitatibus numeri et functionis B-cellularum praedom.
D83.1|Opšte promenljivo smanjenje imuniteta sa predominantnim poremećajima imunoregulacije T-ćelija|Immunodeficientia variabilis communis cum disordinibus immunoregulationis T-cellularum praedominant.
D83.2|Opšte promenljivo smanjenje imuniteta sa autoantitelima prema B- i T- ćelijama|Immunodeficientia variabilis communis cum autoanticorporibus in B- et T-cellulas
D83.8|Druga opšta promenljiva smanjenja imuniteta|Immunodeficientiae variabiles communes aliae
D83.9|Opšte promenljivo smanjenje imuniteta, neoznačeno|Immunodeficientia variabilis communis, non specificata
D84|Druga smanjenja imuniteta|Immunodeficientiae aliae
D84.0|Oštećena funkcija limfocitnog antigena 1|Defectus functionis antigeni-1 lymphocytici
D84.1|Oštećen sistem dopune|Defectus systematis complementi
D84.8|Druga označena smanjenja imuniteta|Immunodeficientiae aliae,specificatae
D84.9|Smanjenje imuniteta ,neoznačeno|Immunodeficientia, non specificata
D86|Sarkoidoza - čvorići vezivnog tkiva|Sarcoidosis
D86.0|Sarkoidoza pluća|Sarcoidosis pulmonis
D86.1|Sarkoidoza limfnih čvorova|Sarcoidosis nodulorum lymphaticorum
D86.2|Sarkoidoza pluća sa sarkoidozom limfnih čvorova|Sarcoidosis pulmonis cum sarcoidosi nodulorum lymphaticorum
D86.3|Sarkoidoza kože|Sarcoidosis cutis
D86.8|Sarkoidoza drugih i kombinovanih lokalizacija|Sarcoidosis locorum aliorum et combinatorum
D86.9|Sarkoidoza, neoznačena|Sarcoidosis,non specificata
D89|Drugi poremećaji imuniteta|Disordines immunitatis alii
E00|Sindrom urođenog nedostatka joda|Cretinismus endemicus congenitus
E00.0|Sindrom urođenog nedostatka joda, neurološki tip|Syndroma deficientiae iodi congenitae, typus neurologicus
E00.1|Sindrom urođenog nedostatka joda, tip sa nakupljanjem tečnosti|Syndroma deficientiae iodi congenitae, typus mixoedemtosus
E00.2|Sindrom urođenog nedostatka joda, mešani tip|Sindroma deficientiae iodi congenitae, typus mixtus
E00.9|Sindrom nedostatka joda,neoznačen|Sindroma deficientiae iodi,non specificata
E01|Endemska netoksička gušavost i druga stanja|Struma non toxica endemica et status alii
E01.0|Endemska difuzna gušavost zbog nedostatka joda|Struma diffusa endemica propter deficientiam iodi
E01.1|čvornovata endemska gušavost zbog nedostatka joda|Struma nodosa endemica propter deficientiam iodi
E01.2|Neoznačena endemska gušavost zbog nedostatka joda|Struma endemica non specificata propter deficientiam iodi
E01.8|Drugi poremaćaji funkcije štitaste žlezde i druga stanja nastala zbog nedostatka joda|Dysfunctiones thyreoideae aliae et status alii propter deficientiam iodi
E02|Klinički neizražena smanjena funkcija štitaste žlezde zbog nedostatka joda|Hypothyreosis subclinica(status latens)propter deficientiam iodi
E03|Druge smanjene funkcije štitaste žlezde|Hypothyreoidismus alius
E03.0|Urođena smanjena funkcija sa uvećanjem štitaste žlezde|Hypothyreoidismus cum struma diffusa congenita
E03.1|Urođena smanjena funkcija štitaste žlezde|Hypothyreoidismus congenitus
E03.2|Smanjena funkcija štitaste žlezde uzrokovana upotrebom lekova i drugih unetih supstancijama|Hypothyreoidismus medicamentosus et hypothyreoidismus propter usum substantiarum exogenium aliarum
E03.3|Smanjena funkcija štitaste žlezde posle infekcije|Hypothyreoidismus post infectionem
E03.4|Stečena usahlost štitaste žlezde|Athrophia thyreoideae acquisita
E03.5|Besvesno stanje uzrokovano smanjenom funkcijom štitaste žlezde|Coma myxoedematosum
E03.8|Druga označena smanjena funkcija štitaste žlezde|Hypothyreoidismus specificatus,alius
E03.9|Smanjena funkcija štitaste žlezde,neoznačena|Hypothyreoidismus,non specificatus
E04|Druga netoksička gušavost|Struma atoxica alia
E04.0|Netoksičko uvećanje štitaste žlezde|Struma diffusa atoxica
E04.1|Netoksičan čvor štitaste žlezde|Nodus thyreoideae autonomus atoxicus
E04.2|Gušavost sa više netoksičnih čvorova|Struma multinodosa atoxica
E04.8|Druga netoksička označena gušavost|Struma atoxica alia,specificata
E04.9|čvornovata netoksična gušavost,neoznačena 1|Struma nodosa atoxica,non specificata
E05|Tireotoksikoza-povećana funkcija štitaste žlezde|Thyreotoxicosis
E05.0|Povećana funkcija štitaste žlezde sa gušavošću|Thyreotoxicosis cum struma diffusa
E05.1|Povećanje funkcija štitaste žlezde sa jednim čvorom|Thyreotoxicosis nodosa singularis
E05.2|Toksička čvornovata štitasta žlezda|Adenoma thyreoideae toxicum cum struma toxica multinodulari
E05.3|Povećana funkcija tkiva štitaste žlezde van same žlezde|Thyreotoxicosis thyreoideae extopicae
E05.4|Veštački povećana funkcija štitaste žlezde|Thyreotoxicosis factitia
E05.5|Tireotoksička kriza|Crisis thyreotoxica
E05.8|Druga povećana funkcija štitaste žlezde|Thyreotoxicosis alia
E05.9|Povećana funkcija štitaste žlezde,neoznačena|Thyreotoxicosis,non specificata
E06|Zapaljenje štitaste žlezde|Thyreoiditis
E06.0|Akutno zapaljenje štitaste žlezde|Thyreoiditis acuta
E06.1|Subakutno zapaljenje štitaste žlezde|Thyreoiditis subacuta
E06.2|Hronično zapaljenje štitaste žlezde sa prolazno pojačanom funkcijom|Thyreoiditis chronica transitiva cum hyperthyreosi
E06.3|Autoimunsko zapaljenje štitaste žlezde|Thyreoiditis autoimmunis
E06.4|Zapaljenje štitaste žlezde uzrokovano upotrebom lekova|Thyreoiditis medicamentosa
E06.5|Drugo hronično zapaljenje štitaste žlezde|Thyreoiditis chronica alia
E07|Druge bolesti štitaste žlezde|Morbi thyreoideae alii
E10|Šećerna bolest,insulinozavisan oblik|Diabetes mellitus ab insulino dependens
E10.0|Dijabetes insulino zavisan sa dijabetičnom komom bez ketoacidoze|Diabetes mellitus ab insulino dependens,cum comato diabetico et sine ketoacidosi
E10.1|Dijabetes insulino zavisan sa ketaciodozom|Diabetes mellitus ab insulino dependens,cum ketoacidosi
E10.2|Dijabetes insulino zavisan sa bubrežnim komplikacijama|Diabetes mellitus ab insulino dependens,cum complicationibus renalibus
E10.3|Dijabetes insulino zavisan sa očnim komplikacijama|Diabetes mellitus ab insulino dependens,cum complicationibus ophthalmicis
E10.4|Dijabetes insulino zavisan sa neurološkim komplikacijama|Diabetes mellitus ab insulino dependens,cum complicationibus neurologicis
E10.5|Dijabetes insulino zavisan sa komplikacijama u perifernom krvotoku|Diabetes mellitus ab insulino dependens,cum complicationibus systematis circularis peripherici
E10.6|Dijabetes insulino zavisan sa drugim označenim komplikacijama|Diabetes mellitus ab insulino dependens,cum complicationibus aliis specificatis
E10.7|Dijabetes insulino zavisan sa višestrukim komplikacijama|Diabetes mellitus ab insulino dependens,cum complicationibus multiplicibus
E10.8|Dijabetes insulino zavisan sa neoznačenim komplikacijama|Diabetes mellitus ab insulino dependens,cum complicationibus,non specificatis
E10.9|Dijabetes insulino zavisan bez komplikacija|Diabetes mellitus ab insulino dependens sine complicationibus
E11|Šećerna bolest,insulinonezavisan oblik|Diabetes mellitus ad insulino independens
E11.0|Dijabetes insulinonezavisan oblik sa dijabetičnom komom bez ketoacidoze|Diabetes mellitus ad insulino independens,cum comate diabetico et sine ketoacidosi
E11.1|Dijabetes insulinonezavisan oblik sa ketoacidozom|Diabetes mellitus ad insulino independens,cum ketoacidosi
E11.2|Dijabetes insulinonezavisan oblik sa bubrežnim komplikacijama|Diabetes mellitus ad insulino independens,cum complicationibus renalibus
E11.3|Dijabetes insulinonezavisan oblik sa očnim komplikacijama|Diabetes mellitus ad insulino independens,cum complicationibus ophthalmicis
E11.4|Dijabetes insulinonezavisan oblik sa neurološkim komplikacijama|Diabetes mellitus ad insulino independens,cum complicationibus neurologicis
E11.5|Dijabetes insulinonezavisan oblik sa komplikacijama u perifernom krvotoku|Diabetes mellitus ad insulino independens,cum complicationibus systematis circularis peripherici
E11.6|Dijebetes insulinonezavisan oblik sa drugim označenim komplikacijama|Diabetes mellitus ad insulino independens,cum complicationibus aliis specificatis
E11.7|Dijabetes insulinonezavisan oblik sa višestrukim komplikacijama|Diabetes mellitus ad insulino independens,cum complicationibus multiplicibus
E11.8|Dijabetes insulinonezavisan oblik sa neoznačenim komplikacijama|Diabetes mellitus ad insulino independens,cum complicationibus,non specificatis
E11.9|Dijabetes insulinonezavisan, bez komplikacija|Diabetes mellitus ad insulino independens sine complicationibus
E12|Šećerna bolest kod pothranjenosti|Diabetes mellitus malnutritionalis
E12.0|Dijabetes sa dijabetičnom komom bez ketoacidoze|Diabetes mellitus malnutritionalis,cum comate diabetico et sine ketoacidosi
